solicitud_id,usuarios_afectados,incidencias_reportadas,complejidad_servicio,horas_estimadas,cambios_recientes,canales_involucrados,tiempo_atencion_horas,costo_atencion_usd
SRV-0478,95,9,3,3.4,0,1,6.91,612.59
SRV-0479,21,2,3,3.41,1,1,2.72,460.21
SRV-0480,30,8,2,2.71,0,2,4.84,457.43
SRV-0481,82,6,3,4.3,0,3,5.24,612.71
SRV-0482,25,4,2,2.1,0,1,3.17,326.45
SRV-0483,68,10,5,5.46,1,1,8.2,1048.48
SRV-0484,61,3,3,3.11,1,1,3.33,453.25
SRV-0485,75,4,3,2.8,0,3,3.28,495.86
SRV-0486,225,8,3,3.99,0,3,7.07,642.98
SRV-0487,38,10,3,4.77,1,1,7.73,770.05
SRV-0488,37,5,1,2.19,1,3,4.13,350.26
SRV-0489,12,10,1,3.67,0,3,5.48,451.07
SRV-0490,19,5,1,2.97,1,2,4.1,376.35
SRV-0491,50,12,4,6.21,1,1,9.7,956.12
SRV-0492,71,4,1,3.19,0,1,3.13,310.14
SRV-0493,30,6,3,2.66,0,4,4.76,481.02
SRV-0494,73,4,3,4.01,0,2,4.43,496.08
SRV-0495,37,8,3,3.73,0,1,5.32,545.2
SRV-0496,57,11,3,4.52,1,1,6.68,776.49
SRV-0497,79,8,2,4.57,0,3,4.14,554.12
SRV-0498,189,10,2,3.95,1,1,8.33,656.06
SRV-0499,55,6,2,2.9,1,1,4.83,460.75
SRV-0500,23,7,3,3.72,0,4,6.33,615.83
SRV-0501,29,10,3,4.98,1,3,8.63,774.11
SRV-0502,90,9,3,3.93,0,4,7.09,711.3
SRV-0503,376,6,4,4.76,0,2,5.71,690.35
SRV-0504,15,6,1,1.77,0,2,5.11,269.73
SRV-0505,19,7,2,3.09,0,3,4.84,433.84
SRV-0506,68,7,3,3.69,1,1,7.0,586.81
SRV-0507,80,6,2,3.42,0,3,3.5,480.57
SRV-0508,138,2,1,1.92,1,3,2.79,192.83
SRV-0509,173,6,2,2.46,0,4,4.58,426.83
SRV-0510,120,11,2,5.49,1,3,6.91,731.22
SRV-0511,25,3,2,1.82,0,4,3.81,307.34
SRV-0512,71,7,3,3.51,0,2,6.11,600.45
SRV-0513,115,10,2,4.24,0,4,6.19,598.44
SRV-0514,111,8,3,3.51,0,4,6.56,693.91
SRV-0515,163,5,2,3.73,1,3,3.49,440.51
SRV-0516,69,8,4,5.06,0,4,8.21,728.77
SRV-0517,120,7,1,1.36,0,2,3.3,312.61
SRV-0518,24,4,4,2.82,0,3,2.6,606.54
SRV-0519,36,6,3,3.12,0,4,5.3,530.86
SRV-0520,97,4,4,4.33,0,1,4.72,597.29
SRV-0521,40,5,3,3.18,0,3,4.9,445.83
SRV-0522,66,5,5,4.25,0,2,6.73,679.39
SRV-0523,22,5,3,3.48,0,2,5.72,589.12
SRV-0524,41,6,1,2.58,0,2,4.57,272.25
SRV-0525,76,9,2,3.4,0,4,5.84,576.71
SRV-0526,42,9,3,4.12,0,1,7.03,666.52
SRV-0527,21,6,2,3.91,0,4,5.35,444.36
SRV-0528,31,4,3,3.69,0,3,4.41,547.95
SRV-0529,65,7,2,3.72,0,3,4.47,508.34
SRV-0530,227,5,2,3.68,1,3,6.49,514.84
SRV-0531,95,10,4,5.39,0,4,8.73,973.54
SRV-0532,117,5,2,3.29,0,3,4.02,374.64
SRV-0533,137,7,2,2.63,0,4,5.39,530.76
SRV-0534,55,9,2,2.16,1,4,6.75,540.23
SRV-0535,165,11,3,3.98,1,4,7.84,917.69
SRV-0536,54,8,5,5.06,0,2,8.11,814.03
SRV-0537,56,7,3,3.78,1,3,7.4,656.67
SRV-0538,221,5,4,4.44,0,2,7.02,748.54
SRV-0539,45,4,5,4.04,0,2,5.99,704.89
SRV-0540,67,5,4,4.19,1,4,5.51,640.1
SRV-0541,117,5,5,3.31,0,2,5.41,730.92
SRV-0542,58,5,2,3.59,1,3,4.63,489.32
SRV-0543,400,6,4,3.75,1,4,6.91,762.08
SRV-0544,137,8,2,3.61,0,3,4.66,545.24
SRV-0545,51,9,4,4.33,0,1,6.83,758.37
SRV-0546,89,7,2,3.15,1,2,4.87,489.35
SRV-0547,55,5,3,3.38,0,4,3.49,581.97
SRV-0548,77,10,2,2.96,0,1,6.79,551.98
SRV-0549,27,4,1,3.23,1,4,4.02,371.01
SRV-0550,81,5,1,1.98,0,4,3.29,316.53
SRV-0551,22,9,4,3.31,1,1,7.27,767.09
SRV-0552,33,7,3,3.77,0,2,5.99,599.68
SRV-0553,53,4,4,3.37,0,4,5.14,554.91
SRV-0554,51,5,3,2.99,1,3,5.7,633.19
SRV-0555,18,6,5,4.21,0,1,6.33,801.65
SRV-0556,32,2,2,2.35,1,4,3.53,376.16
SRV-0557,64,7,2,3.22,0,2,5.25,509.59
SRV-0558,206,4,2,2.61,0,4,3.86,390.53
SRV-0559,23,6,3,2.85,0,3,5.49,486.0
SRV-0560,111,5,3,3.24,0,4,4.52,588.68
SRV-0561,46,5,4,3.49,0,4,6.19,624.87
SRV-0562,249,16,3,6.3,0,4,10.01,1028.42
SRV-0563,68,7,3,3.16,0,4,5.18,550.73
SRV-0564,32,6,4,3.72,1,3,7.08,683.27
SRV-0565,58,7,1,2.65,1,1,4.1,286.46
SRV-0566,24,9,2,3.07,0,3,5.91,578.89
SRV-0567,33,8,4,5.35,1,2,6.9,817.28
SRV-0568,46,3,1,2.45,0,2,3.12,186.42
SRV-0569,51,7,2,3.38,1,4,5.57,473.0
SRV-0570,49,8,4,5.84,1,3,6.38,800.93
SRV-0571,67,11,3,5.24,0,4,7.71,737.78
SRV-0572,53,4,4,4.35,1,1,6.08,579.26
SRV-0573,46,8,1,2.89,0,3,4.73,358.64
SRV-0574,73,4,4,3.67,1,1,5.35,588.85
SRV-0575,99,2,2,2.42,0,2,3.37,340.95
SRV-0576,24,12,4,6.07,1,3,9.89,1016.07
SRV-0577,147,6,3,3.52,0,2,6.12,548.07
SRV-0578,236,4,4,3.08,0,3,3.8,582.94
SRV-0579,165,10,4,5.39,0,1,7.73,916.2
SRV-0580,133,7,3,4.6,0,2,5.82,676.36
SRV-0581,204,5,5,4.55,1,2,6.71,842.18
SRV-0582,38,9,1,4.5,1,3,4.7,413.58
SRV-0583,57,6,5,5.38,0,4,5.87,794.66
SRV-0584,41,7,1,2.7,0,3,3.53,349.79
SRV-0585,258,8,3,3.54,0,2,6.09,705.75
SRV-0586,101,6,5,4.64,0,4,6.4,806.69
SRV-0587,26,4,3,4.57,1,1,3.5,471.78
SRV-0588,10,11,5,4.53,0,1,7.97,1050.31
SRV-0589,99,5,3,3.12,0,4,5.08,593.64
SRV-0590,96,10,4,4.72,0,4,7.51,923.34
SRV-0591,30,8,5,5.22,0,4,8.12,865.61
SRV-0592,46,12,5,4.64,0,1,9.45,1049.82
SRV-0593,107,8,3,4.61,1,2,6.73,704.64
SRV-0594,51,3,3,1.94,0,4,3.28,382.88
SRV-0595,56,8,3,2.73,1,4,7.85,625.34
SRV-0596,280,4,4,3.74,0,3,5.83,605.87
SRV-0597,38,2,5,4.13,1,1,4.47,535.22
SRV-0598,82,4,3,3.43,0,1,4.32,454.55
SRV-0599,45,5,4,3.77,0,2,4.34,631.67
SRV-0600,22,8,4,5.07,0,2,5.78,784.82
